Band,SCS ,BW5,BW10,BW15,BW20,BW25,BW30,BW35,BW40,BW45,BW50
1,15,-100,-96.8,-95,-93.8,-92.7,-91.9,,-90.6,-90.1,-89.6
1,30,-97.1,-97.1,-95.1,-94,-92.8,-92,,-90.7,-90.2,-89.7
1,60,-97.5,-97.5,-95.4,-94.2,-93,-92.1,,-90.9,-90.3,-89.7
2,15,-98,-94.8,-93,-91.8,-90.7,-84.1,,-81.5,,
2,30,,-95.1,-93.1,-92,-90.8,-84.2,,-81.6,,
2,60,,-95.5,-93.4,-92.2,-90.9,-84.3,,-81.7,,
3,15,-97,-93.8,-92,-90.8,-89.7,-88.9,-86.2,-82.3,-81.3,-79.7
3,30,,-94.1,-92.1,-91,-89.8,-89,-86.3,-82.4,-81.4,-79.8
3,60,,-94.5,-92.4,-91.2,-90,-89.1,-86.4,-82.6,-81.5,-79.9
5,15,-98,-94.8,-93,-86.8,-84.8,,,,,
5,30,,-95.1,-93.1,-88.6,-84.9,,,,,
7,15,-98,-94.8,-93,-91.8,-90.7,-89.9,,-88.6,,
7,30,,-95.1,-93.1,-92,-90.8,-90,,-88.7,,
7,60,,-95.5,-93.4,-92.2,-91,-90.1,,-88.9,,
8,15,-97,-93.8,-91.4,-85.8,,-78.4,,,,
8,30,,-94.1,-91.7,-87.2,,-78.5,,,,
12,15,-97,-93.8,-84,,,,,,,
12,30,,-94.1,-84.1,,,,,,,
13,15,-97,-93.8,,,,,,,,
13,30,,-94.1,,,,,,,,
14,15,-97,-93.8,,,,,,,,
14,30,,-94.1,,,,,,,,
20,15,-97,-93.8,-91,-89.8,,,,,,
20,30,,-94.1,-91.1,-90,,,,,,
24,15,-100,-96.8,,,,,,,,
24,30,,-97.1,,,,,,,,
24,60,,-97.5,,,,,,,,
25,15,-96.5,-93.3,-91.5,-90.3,-89.3,-82.2,,-79.5,,
25,30,,-93.6,-91.6,-90.5,-89.4,-82.3,,-79.6,,
25,60,,-94,-91.9,-90.7,-89.6,-82.4,,-79.7,,
26,15,-97.5,-94.5,-92.7,-87.6,,,,,,
26,30,,-94.8,-92.7,-87.7,,,,,,
28,15,-98.5,-95.5,-93.5,-90.8,,-78.5,,,,
28,30,,-95.6,-93.6,-91,,-78.6,,,,
30,15,-99,-95.8,,,,,,,,
30,30,,-96.1,,,,,,,,
65,15,-99.5,-96.3,-94.5,-93.3,,,,,,-89.2
65,30,,-96.6,-94.6,-93.5,,,,,,-89.3
65,60,,-97,-94.9,-93.7,,,,,,-89.4
66,15,-99.5,-96.3,-94.5,-93.3,-92.2,-91.4,,-90.1,-89.6,
66,30,,-96.6,-94.6,-93.5,-92.3,-91.5,,-90.2,-89.7,
66,60,,-97,-94.9,-93.7,-92.5,-91.6,,-90.4,-89.8,
70,15,-100,-96.8,-95,-93.8,-92.7,,,,,
70,30,,-97.1,-95.1,-94,-92.8,,,,,
70,60,,-97.5,-95.4,-94.2,-93,,,,,
71,15,-97.2,-94,-91.6,-86,,,,,,
71,30,,-94.3,-91.9,-87.4,,,,,,
74,15,-99.5,-96.3,-94.5,-89.3,,,,,,
74,30,,-96.6,-94.6,-89.5,,,,,,
74,60,,-97,-94.9,-89.6,,,,,,
100,15,-100,,,,,,,,,
