Band,BW1.4,BW3,BW5,BW10,BW15,BW20
1,,,-99.3,-96.3,-94.5,-93.3
2,-102.7,-99,-97.3,-94.3,-92.5,-91.3
3,-101,-98,-96.3,-93.3,-91.5,-90.3
4,-104,-101,-99.3,-96.3,-94.5,-93.3
5,,-99.5,-97.3,-94.3,,
7,,,-97.3,-94.3,-92.5,-91.3
8,-101.5,-98.5,-96.3,-93.3,,
12,-101,-98,-96.3,-93.3,,
13,,,-96.3,-93.3,,
14,,,-96.3,-93.3,,
17,,,-96.3,-93.3,,
18,,,-99.3,-96.3,,
19,,,-99.3,-96.3,,
20,,,-96.3,-93.3,-90.5,-89.3
21,,,-99.3,-96.3,-94.5,
23,-104,-101,-99.3,-96.3,-94.5,-93.3
24,,,-99.3,-96.3,,
25,-100.5,-97.5,-95.8,-92.8,-91,-89.8
26,-102,-99,-96.8,-93.8,-92,
28,,-99.5,-97.8,-94.8,-93,-90.3
30,,,-98.3,-95.3,,
38,,,-99.3,-96.3,-94.5,-93.3
39,,,-99.3,-96.3,-94.5,-93.3
40,,,-99.3,-96.3,-94.5,-93.3
41,,,-97.3,-94.3,-92.5,-91.3
42,,,-98,-95,-93.2,-92
66,-103.5,-100.5,-98.8,-95.8,-94,-92.8
70,,,-99.3,-96.3,-94.5,
71,,,-96.5,-93.5,-91.3,-86.8
