Freq(MHz),Loss
600,0.483163361
650,0.493152204
700,0.51109892
750,0.534282226
800,0.558833803
850,0.579257146
900,0.594359163
950,0.599842296
1000,0.611088149
1375,0.719319184
1400,0.729837601
1425,0.738870914
1450,0.749036318
1475,0.762450929
1500,0.767810055
1525,0.775749617
1550,0.777291519
1575,0.781380325
1600,0.781197148
1625,0.788924514
1650,0.790915977
1675,0.797804425
1700,0.801326582
1725,0.81275393
1750,0.821251852
1775,0.831027041
1800,0.838276186
1825,0.844302165
1850,0.849503099
1875,0.854995434
1900,0.855648991
1925,0.856181475
1950,0.860332806
1975,0.869009778
2000,0.872556633
2025,0.879649287
2050,0.882440288
2075,0.895026819
2100,0.901840786
2125,0.906225934
2150,0.910734181
2175,0.917932795
2200,0.918699246
2300,0.939303405
2325,0.949399633
2350,0.951847889
2375,0.960535341
2400,0.964934417
2425,0.968119274
2450,0.971569969
2475,0.971923955
2500,0.976532395
2525,0.982878805
2550,0.983448134
2575,0.990976319
2600,0.997491679
2625,1.005835433
2650,1.012928203
2675,1.019157262
2700,1.022851255
3300,1.158019125
3350,1.155603413
3400,1.152574169
3450,1.150452359
3500,1.175541068
3550,1.211319979
3600,1.228096435
3650,1.238947406
3700,1.22416902
3750,1.218708123
3800,1.228969566
3850,1.260188438
3900,1.308451715
3950,1.309456312
4000,1.307255903
4050,1.291775356
4100,1.303374197
4150,1.327977358
4200,1.356876266
4250,1.39314297
4300,1.383985153
4350,1.379482892
4400,1.372591415
4450,1.406844073
4500,1.432439336
4550,1.449901362
4600,1.470743875
4650,1.456762803
4700,1.448755312
4750,1.45626629
4800,1.501098725
4850,1.525549195
4900,1.547066708
4950,1.542608101
5000,1.529168383
5200,1.622317529
5400,1.622272613
5600,1.695895328
5800,1.726945137
6000,1.742877975
