Freq(MHz),Loss
500,-12.95
512.1875,-12.87
524.375,-12.8
536.5625,-12.73
548.75,-12.67
560.9375,-12.61
573.125,-12.56
585.3125,-12.52
597.5,-12.47
609.6875,-12.44
621.875,-12.41
634.0625,-12.39
646.25,-12.35
658.4375,-12.34
670.625,-12.31
682.8125,-12.31
695,-12.3
707.1875,-12.29
719.375,-12.3
731.5625,-12.29
743.75,-12.31
755.9375,-12.32
768.125,-12.33
780.3125,-12.35
792.5,-12.37
804.6875,-12.39
816.875,-12.42
829.0625,-12.45
841.25,-12.47
853.4375,-12.5
865.625,-12.53
877.8125,-12.56
890,-12.59
902.1875,-12.62
914.375,-12.64
926.5625,-12.68
938.75,-12.71
950.9375,-12.74
963.125,-12.77
975.3125,-12.79
987.5,-12.83
999.6875,-12.85
1011.875,-12.88
1024.0625,-12.91
1036.25,-12.94
1048.4375,-12.96
1060.625,-12.99
1072.8125,-13.01
1085,-13.03
1097.1875,-13.05
1109.375,-13.07
1121.5625,-13.09
1133.75,-13.1
1145.9375,-13.12
1158.125,-13.12
1170.3125,-13.14
1182.5,-13.14
1194.6875,-13.14
1206.875,-13.15
1219.0625,-13.15
1231.25,-13.14
1243.4375,-13.13
1255.625,-13.13
1267.8125,-13.12
1280,-13.1
1292.1875,-13.1
1304.375,-13.08
1316.5625,-13.07
1328.75,-13.06
1340.9375,-13.05
1353.125,-13.03
1365.3125,-13.02
1377.5,-13.01
1389.6875,-13
1401.875,-12.99
1414.0625,-12.99
1426.25,-12.97
1438.4375,-12.97
1450.625,-12.95
1462.8125,-12.95
1475,-12.95
1487.1875,-12.94
1499.375,-12.94
1511.5625,-12.93
1523.75,-12.93
1535.9375,-12.93
1548.125,-12.93
1560.3125,-12.93
1572.5,-12.93
1584.6875,-12.93
1596.875,-12.93
1609.0625,-12.94
1621.25,-12.94
1633.4375,-12.96
1645.625,-12.96
1657.8125,-12.98
1670,-12.98
1682.1875,-13
1694.375,-13.02
1706.5625,-13.04
1718.75,-13.07
1730.9375,-13.09
1743.125,-13.11
1755.3125,-13.14
1767.5,-13.15
1779.6875,-13.18
1791.875,-13.21
1804.0625,-13.25
1816.25,-13.27
1828.4375,-13.3
1840.625,-13.33
1852.8125,-13.35
1865,-13.38
1877.1875,-13.41
1889.375,-13.44
1901.5625,-13.47
1913.75,-13.49
1925.9375,-13.51
1938.125,-13.55
1950.3125,-13.57
1962.5,-13.59
1974.6875,-13.62
1986.875,-13.64
1999.0625,-13.66
2011.25,-13.68
2023.4375,-13.7
2035.625,-13.71
2047.8125,-13.72
2060,-13.74
2072.1875,-13.75
2084.375,-13.76
2096.5625,-13.77
2108.75,-13.77
2120.9375,-13.78
