Freq(MHz),Loss
500,-86.74
512.1875,-85.72
524.375,-85.05
536.5625,-85.17
548.75,-81.53
560.9375,-82.70
573.125,-81.63
585.3125,-81.71
597.5,-80.86
609.6875,-78.48
621.875,-84.23
634.0625,-81.13
646.25,-82.51
658.4375,-88.35
670.625,-74.65
682.8125,-89.75
695,-78.84
707.1875,-75.64
719.375,-87.62
731.5625,-79.91
743.75,-86.58
755.9375,-79.48
768.125,-86.15
780.3125,-76.25
792.5,-77.97
804.6875,-79.19
816.875,-78.16
829.0625,-75.95
841.25,-75.78
853.4375,-72.36
865.625,-72.98
877.8125,-67.86
890,-65.63
902.1875,-61.20
914.375,-60.06
926.5625,-56.30
938.75,-53.77
950.9375,-51.24
963.125,-48.24
975.3125,-45.36
987.5,-42.48
999.6875,-39.41
1011.875,-36.44
1024.0625,-33.07
1036.25,-29.70
1048.4375,-26.03
1060.625,-22.27
1072.8125,-18.42
1085,-14.60
1097.1875,-11.00
1109.375,-7.97
1121.5625,-5.82
1133.75,-4.60
1145.9375,-4.04
1158.125,-3.79
1170.3125,-3.66
1182.5,-3.59
1194.6875,-3.55
1206.875,-3.53
1219.0625,-3.52
1231.25,-3.52
1243.4375,-3.51
1255.625,-3.48
1267.8125,-3.45
1280,-3.41
1292.1875,-3.39
1304.375,-3.37
1316.5625,-3.36
1328.75,-3.34
1340.9375,-3.34
1353.125,-3.34
1365.3125,-3.37
1377.5,-3.41
1389.6875,-3.44
1401.875,-3.46
1414.0625,-3.47
1426.25,-3.45
1438.4375,-3.42
1450.625,-3.38
1462.8125,-3.35
1475,-3.32
1487.1875,-3.29
1499.375,-3.26
1511.5625,-3.24
1523.75,-3.24
1535.9375,-3.24
1548.125,-3.25
1560.3125,-3.28
1572.5,-3.30
1584.6875,-3.30
1596.875,-3.28
1609.0625,-3.25
1621.25,-3.22
1633.4375,-3.20
1645.625,-3.19
1657.8125,-3.19
1670,-3.18
1682.1875,-3.18
1694.375,-3.18
1706.5625,-3.18
1718.75,-3.18
1730.9375,-3.17
1743.125,-3.17
1755.3125,-3.17
1767.5,-3.17
1779.6875,-3.17
1791.875,-3.17
1804.0625,-3.17
1816.25,-3.17
1828.4375,-3.17
1840.625,-3.17
1852.8125,-3.18
1865,-3.19
1877.1875,-3.20
1889.375,-3.20
1901.5625,-3.20
1913.75,-3.20
1925.9375,-3.19
1938.125,-3.19
1950.3125,-3.19
1962.5,-3.19
1974.6875,-3.20
1986.875,-3.21
1999.0625,-3.21
2011.25,-3.21
2023.4375,-3.21
2035.625,-3.22
2047.8125,-3.22
2060,-3.23
2072.1875,-3.24
2084.375,-3.24
2096.5625,-3.25
2108.75,-3.25
2120.9375,-3.26
2133.125,-3.26
2145.3125,-3.27
2157.5,-3.28
2169.6875,-3.28
2181.875,-3.29
2194.0625,-3.30
2206.25,-3.31
2218.4375,-3.32
2230.625,-3.32
2242.8125,-3.33
2255,-3.34
2267.1875,-3.35
2279.375,-3.37
2291.5625,-3.38
2303.75,-3.38
2315.9375,-3.37
2328.125,-3.38
2340.3125,-3.39
2352.5,-3.40
2364.6875,-3.41
2376.875,-3.42
2389.0625,-3.43
2401.25,-3.44
2413.4375,-3.44
2425.625,-3.45
2437.8125,-3.47
2450,-3.50
2462.1875,-3.52
2474.375,-3.53
2486.5625,-3.54
2498.75,-3.53
2510.9375,-3.52
2523.125,-3.53
2535.3125,-3.54
2547.5,-3.55
2559.6875,-3.57
2571.875,-3.57
2584.0625,-3.57
2596.25,-3.57
2608.4375,-3.56
2620.625,-3.57
2632.8125,-3.58
2645,-3.61
2657.1875,-3.65
2669.375,-3.68
2681.5625,-3.69
2693.75,-3.68
2705.9375,-3.66
2718.125,-3.65
2730.3125,-3.65
2742.5,-3.66
2754.6875,-3.67
2766.875,-3.68
2779.0625,-3.67
2791.25,-3.67
2803.4375,-3.67
2815.625,-3.67
2827.8125,-3.69
2840,-3.73
2852.1875,-3.77
2864.375,-3.81
2876.5625,-3.83
2888.75,-3.81
2900.9375,-3.78
2913.125,-3.76
2925.3125,-3.75
2937.5,-3.75
2949.6875,-3.75
2961.875,-3.74
2974.0625,-3.71
2986.25,-3.69
2998.4375,-3.69
3010.625,-3.68
3022.8125,-3.69
3035,-3.71
3047.1875,-3.75
3059.375,-3.79
3071.5625,-3.84
3083.75,-3.85
3095.9375,-3.84
3108.125,-3.82
3120.3125,-3.81
3132.5,-3.82
3144.6875,-3.83
3156.875,-3.83
3169.0625,-3.81
3181.25,-3.79
3193.4375,-3.78
3205.625,-3.79
3217.8125,-3.80
3230,-3.81
3242.1875,-3.83
3254.375,-3.87
3266.5625,-3.91
3278.75,-3.93
3290.9375,-3.92
3303.125,-3.90
3315.3125,-3.89
3327.5,-3.89
3339.6875,-3.91
3351.875,-3.92
3364.0625,-3.91
3376.25,-3.90
3388.4375,-3.90
3400.625,-3.92
3412.8125,-3.94
3425,-3.94
3437.1875,-3.95
3449.375,-3.95
3461.5625,-3.97
3473.75,-3.98
3485.9375,-3.98
3498.125,-3.98
3510.3125,-3.98
3522.5,-4.00
3534.6875,-4.03
3546.875,-4.05
3559.0625,-4.06
3571.25,-4.07
3583.4375,-4.11
3595.625,-4.16
3607.8125,-4.20
3620,-4.22
3632.1875,-4.19
3644.375,-4.16
3656.5625,-4.13
3668.75,-4.13
3680.9375,-4.13
3693.125,-4.13
3705.3125,-4.12
3717.5,-4.12
3729.6875,-4.14
3741.875,-4.17
3754.0625,-4.20
3766.25,-4.22
3778.4375,-4.25
3790.625,-4.30
3802.8125,-4.35
3815,-4.37
3827.1875,-4.35
3839.375,-4.29
3851.5625,-4.23
3863.75,-4.19
3875.9375,-4.17
3888.125,-4.17
3900.3125,-4.17
3912.5,-4.19
3924.6875,-4.24
3936.875,-4.32
3949.0625,-4.39
3961.25,-4.45
3973.4375,-4.50
3985.625,-4.56
3997.8125,-4.64
4010,-4.69
4022.1875,-4.70
4034.375,-4.64
4046.5625,-4.55
4058.75,-4.45
4070.9375,-4.38
4083.125,-4.35
4095.3125,-4.33
4107.5,-4.33
4119.6875,-4.35
4131.875,-4.40
4144.0625,-4.47
4156.25,-4.53
4168.4375,-4.59
4180.625,-4.64
4192.8125,-4.69
4205,-4.74
4217.1875,-4.75
4229.375,-4.71
4241.5625,-4.63
4253.75,-4.55
4265.9375,-4.47
4278.125,-4.42
4290.3125,-4.39
4302.5,-4.39
4314.6875,-4.41
4326.875,-4.47
4339.0625,-4.55
4351.25,-4.62
4363.4375,-4.67
4375.625,-4.71
4387.8125,-4.74
4400,-4.77
4412.1875,-4.79
4424.375,-4.76
4436.5625,-4.69
4448.75,-4.62
4460.9375,-4.54
4473.125,-4.49
4485.3125,-4.47
4497.5,-4.47
4509.6875,-4.49
4521.875,-4.53
4534.0625,-4.61
4546.25,-4.69
4558.4375,-4.77
4570.625,-4.82
4582.8125,-4.85
4595,-4.86
4607.1875,-4.88
4619.375,-4.88
4631.5625,-4.85
4643.75,-4.81
4655.9375,-4.75
4668.125,-4.69
4680.3125,-4.67
4692.5,-4.66
4704.6875,-4.66
4716.875,-4.67
4729.0625,-4.68
4741.25,-4.69
4753.4375,-4.70
4765.625,-4.72
4777.8125,-4.71
4790,-4.69
4802.1875,-4.67
4814.375,-4.67
4826.5625,-4.68
4838.75,-4.69
4850.9375,-4.73
4863.125,-4.78
4875.3125,-4.85
4887.5,-4.94
4899.6875,-5.02
4911.875,-5.08
4924.0625,-5.12
4936.25,-5.12
4948.4375,-5.13
4960.625,-5.11
4972.8125,-5.07
4985,-5.00
4997.1875,-4.92
5009.375,-4.83
5021.5625,-4.77
5033.75,-4.75
5045.9375,-4.77
5058.125,-4.81
5070.3125,-4.86
5082.5,-4.96
5094.6875,-5.06
5106.875,-5.16
5119.0625,-5.22
5131.25,-5.22
5143.4375,-5.19
5155.625,-5.12
5167.8125,-5.06
5180,-5.00
5192.1875,-4.94
5204.375,-4.87
5216.5625,-4.83
5228.75,-4.86
5240.9375,-4.93
5253.125,-5.05
5265.3125,-5.19
5277.5,-5.34
5289.6875,-5.48
5301.875,-5.62
5314.0625,-5.73
5326.25,-5.77
5338.4375,-5.74
5350.625,-5.66
5362.8125,-5.53
5375,-5.40
5387.1875,-5.27
5399.375,-5.17
5411.5625,-5.08
5423.75,-5.03
5435.9375,-5.05
5448.125,-5.14
5460.3125,-5.27
5472.5,-5.43
5484.6875,-5.60
5496.875,-5.78
5509.0625,-5.94
5521.25,-6.03
5533.4375,-6.04
5545.625,-5.98
5557.8125,-5.86
5570,-5.71
5582.1875,-5.57
5594.375,-5.44
5606.5625,-5.31
5618.75,-5.19
5630.9375,-5.13
5643.125,-5.16
5655.3125,-5.22
5667.5,-5.32
5679.6875,-5.41
5691.875,-5.51
5704.0625,-5.64
5716.25,-5.76
5728.4375,-5.82
5740.625,-5.79
5752.8125,-5.68
5765,-5.55
5777.1875,-5.41
5789.375,-5.31
5801.5625,-5.22
5813.75,-5.15
5825.9375,-5.11
5838.125,-5.12
5850.3125,-5.20
5862.5,-5.30
5874.6875,-5.40
5886.875,-5.48
5899.0625,-5.56
5911.25,-5.64
5923.4375,-5.72
5935.625,-5.76
5947.8125,-5.71
5960,-5.61
5972.1875,-5.47
5984.375,-5.34
5996.5625,-5.27
6008.75,-5.21
6020.9375,-5.18
6033.125,-5.17
6045.3125,-5.20
6057.5,-5.27
6069.6875,-5.35
6081.875,-5.41
6094.0625,-5.44
6106.25,-5.47
6118.4375,-5.51
6130.625,-5.53
6142.8125,-5.51
6155,-5.44
6167.1875,-5.35
6179.375,-5.29
6191.5625,-5.29
6203.75,-5.30
6215.9375,-5.33
6228.125,-5.36
6240.3125,-5.42
6252.5,-5.53
6264.6875,-5.65
6276.875,-5.72
6289.0625,-5.72
6301.25,-5.68
6313.4375,-5.66
6325.625,-5.65
6337.8125,-5.66
6350,-5.60
6362.1875,-5.51
6374.375,-5.42
6386.5625,-5.38
6398.75,-5.41
6410.9375,-5.46
6423.125,-5.49
6435.3125,-5.52
6447.5,-5.59
6459.6875,-5.69
6471.875,-5.79
6484.0625,-5.84
6496.25,-5.82
6508.4375,-5.75
