Freq(MHz),Loss
500,-82.46
512.1875,-80.05
524.375,-80.45
536.5625,-83.41
548.75,-84.39
560.9375,-90.71
573.125,-82.07
585.3125,-81.04
597.5,-84.63
609.6875,-100.41
621.875,-93.61
634.0625,-89.23
646.25,-81.85
658.4375,-80.82
670.625,-89.25
682.8125,-88.26
695,-80.20
707.1875,-79.50
719.375,-79.38
731.5625,-81.33
743.75,-86.10
755.9375,-80.30
768.125,-80.11
780.3125,-80.64
792.5,-81.56
804.6875,-81.98
816.875,-86.19
829.0625,-79.71
841.25,-82.81
853.4375,-87.25
865.625,-82.15
877.8125,-76.19
890,-81.40
902.1875,-85.50
914.375,-81.98
926.5625,-94.07
938.75,-72.57
950.9375,-76.39
963.125,-74.52
975.3125,-79.01
987.5,-87.35
999.6875,-79.13
1011.875,-97.04
1024.0625,-95.92
1036.25,-91.40
1048.4375,-80.24
1060.625,-81.72
1072.8125,-79.37
1085,-81.93
1097.1875,-88.63
1109.375,-78.94
1121.5625,-84.25
1133.75,-79.74
1145.9375,-80.06
1158.125,-90.76
1170.3125,-82.96
1182.5,-77.35
1194.6875,-85.22
1206.875,-84.96
1219.0625,-81.96
1231.25,-76.40
1243.4375,-90.13
1255.625,-75.60
1267.8125,-80.28
1280,-89.69
1292.1875,-86.68
1304.375,-80.57
1316.5625,-82.95
1328.75,-81.29
1340.9375,-83.73
1353.125,-86.48
1365.3125,-79.17
1377.5,-84.33
1389.6875,-75.78
1401.875,-77.32
1414.0625,-82.54
1426.25,-85.46
1438.4375,-89.79
1450.625,-80.76
1462.8125,-81.43
1475,-80.32
1487.1875,-79.39
1499.375,-87.67
1511.5625,-79.47
1523.75,-80.38
1535.9375,-81.17
1548.125,-81.00
1560.3125,-82.35
1572.5,-76.98
1584.6875,-83.32
1596.875,-77.92
1609.0625,-86.85
1621.25,-86.30
1633.4375,-85.60
1645.625,-85.14
1657.8125,-84.07
1670,-88.85
1682.1875,-76.98
1694.375,-77.69
1706.5625,-87.09
1718.75,-77.17
1730.9375,-90.75
1743.125,-85.11
1755.3125,-87.25
1767.5,-88.13
1779.6875,-76.53
1791.875,-86.02
1804.0625,-93.72
1816.25,-84.19
1828.4375,-102.22
1840.625,-80.39
1852.8125,-78.07
1865,-77.26
1877.1875,-91.84
1889.375,-86.41
1901.5625,-77.83
1913.75,-80.41
1925.9375,-84.53
1938.125,-87.22
1950.3125,-87.40
1962.5,-88.64
1974.6875,-84.53
1986.875,-79.62
1999.0625,-76.18
2011.25,-79.30
2023.4375,-77.46
2035.625,-73.06
2047.8125,-78.65
2060,-79.84
2072.1875,-86.76
2084.375,-78.81
2096.5625,-81.50
2108.75,-82.28
2120.9375,-79.52
2133.125,-78.20
2145.3125,-82.98
2157.5,-77.45
2169.6875,-74.80
2181.875,-82.86
2194.0625,-90.63
2206.25,-84.11
2218.4375,-81.87
2230.625,-81.95
2242.8125,-76.33
2255,-91.69
2267.1875,-82.64
2279.375,-86.31
2291.5625,-83.22
2303.75,-92.27
2315.9375,-86.08
2328.125,-84.23
2340.3125,-79.92
2352.5,-78.37
2364.6875,-92.06
2376.875,-94.29
2389.0625,-84.17
2401.25,-76.72
2413.4375,-76.85
2425.625,-89.72
2437.8125,-83.51
2450,-79.19
2462.1875,-91.07
2474.375,-85.90
2486.5625,-78.16
2498.75,-81.22
2510.9375,-87.81
2523.125,-81.93
2535.3125,-86.63
2547.5,-76.25
2559.6875,-76.01
2571.875,-87.49
2584.0625,-79.14
2596.25,-79.95
2608.4375,-82.23
2620.625,-76.44
2632.8125,-83.09
2645,-79.19
2657.1875,-74.79
2669.375,-68.13
2681.5625,-67.12
2693.75,-59.94
2705.9375,-55.25
2718.125,-49.90
2730.3125,-43.96
2742.5,-37.52
2754.6875,-30.50
2766.875,-22.73
2779.0625,-14.67
2791.25,-9.75
2803.4375,-8.31
