Freq(MHz),Loss
500,-92.34
512.1875,-86.80
524.375,-85.84
536.5625,-88.75
548.75,-88.14
560.9375,-85.18
573.125,-86.24
585.3125,-84.44
597.5,-78.68
609.6875,-83.87
621.875,-87.31
634.0625,-82.16
646.25,-82.13
658.4375,-87.76
670.625,-92.72
682.8125,-81.13
695,-88.15
707.1875,-79.36
719.375,-84.21
731.5625,-86.93
743.75,-76.53
755.9375,-84.84
768.125,-87.79
780.3125,-84.65
792.5,-80.20
804.6875,-82.21
816.875,-94.33
829.0625,-76.19
841.25,-87.33
853.4375,-87.18
865.625,-82.81
877.8125,-84.74
890,-88.68
902.1875,-105.42
914.375,-82.93
926.5625,-78.96
938.75,-84.28
950.9375,-86.63
963.125,-78.99
975.3125,-79.00
987.5,-91.44
999.6875,-76.63
1011.875,-79.20
1024.0625,-86.22
1036.25,-81.36
1048.4375,-80.11
1060.625,-80.20
1072.8125,-85.84
1085,-82.86
1097.1875,-81.43
1109.375,-77.91
1121.5625,-92.24
1133.75,-87.68
1145.9375,-92.77
1158.125,-84.81
1170.3125,-80.00
1182.5,-74.87
1194.6875,-81.26
1206.875,-80.25
1219.0625,-78.15
1231.25,-86.94
1243.4375,-91.87
1255.625,-74.42
1267.8125,-76.80
1280,-77.55
1292.1875,-79.51
1304.375,-88.69
1316.5625,-77.06
1328.75,-78.33
1340.9375,-78.19
1353.125,-89.04
1365.3125,-90.44
1377.5,-79.06
1389.6875,-80.93
1401.875,-81.02
1414.0625,-78.14
1426.25,-81.07
1438.4375,-84.37
1450.625,-90.80
1462.8125,-86.37
1475,-79.20
1487.1875,-81.08
1499.375,-80.63
1511.5625,-79.75
1523.75,-76.38
1535.9375,-82.12
1548.125,-86.16
1560.3125,-79.74
1572.5,-79.35
1584.6875,-83.94
1596.875,-83.07
1609.0625,-76.42
1621.25,-79.39
1633.4375,-71.93
1645.625,-86.16
1657.8125,-78.51
1670,-79.24
1682.1875,-78.05
1694.375,-88.33
1706.5625,-77.91
1718.75,-79.03
1730.9375,-81.41
1743.125,-78.23
1755.3125,-92.62
1767.5,-81.05
1779.6875,-87.01
1791.875,-82.06
1804.0625,-73.98
1816.25,-89.14
1828.4375,-82.58
1840.625,-80.84
1852.8125,-77.44
1865,-75.96
1877.1875,-85.00
1889.375,-81.54
1901.5625,-81.97
1913.75,-81.15
1925.9375,-80.11
1938.125,-79.95
1950.3125,-92.80
1962.5,-84.57
1974.6875,-81.31
1986.875,-79.15
1999.0625,-82.41
2011.25,-82.56
2023.4375,-82.09
2035.625,-95.48
2047.8125,-82.12
2060,-82.39
2072.1875,-75.69
2084.375,-84.94
2096.5625,-75.78
2108.75,-80.74
2120.9375,-78.29
2133.125,-80.05
2145.3125,-84.72
2157.5,-78.09
2169.6875,-77.09
2181.875,-73.43
2194.0625,-77.48
2206.25,-77.10
2218.4375,-91.60
2230.625,-78.65
2242.8125,-77.76
2255,-80.55
2267.1875,-78.77
2279.375,-86.12
2291.5625,-85.62
2303.75,-81.65
2315.9375,-81.57
2328.125,-90.64
2340.3125,-104.42
2352.5,-86.51
2364.6875,-79.53
2376.875,-80.77
2389.0625,-81.50
2401.25,-87.95
2413.4375,-86.71
2425.625,-81.78
2437.8125,-92.12
2450,-75.55
2462.1875,-80.37
2474.375,-78.38
2486.5625,-81.98
2498.75,-80.93
2510.9375,-84.89
2523.125,-76.40
2535.3125,-84.19
2547.5,-79.93
2559.6875,-77.37
2571.875,-77.81
2584.0625,-81.88
2596.25,-83.33
2608.4375,-88.81
2620.625,-74.96
2632.8125,-90.63
2645,-79.47
2657.1875,-88.77
2669.375,-82.04
2681.5625,-77.86
2693.75,-83.13
2705.9375,-100.15
2718.125,-81.30
2730.3125,-83.62
2742.5,-82.21
2754.6875,-87.96
2766.875,-88.51
2779.0625,-85.38
2791.25,-72.41
2803.4375,-73.82
2815.625,-80.08
2827.8125,-80.77
2840,-81.46
2852.1875,-88.13
2864.375,-74.13
2876.5625,-81.27
2888.75,-73.93
2900.9375,-85.42
2913.125,-82.12
2925.3125,-78.46
2937.5,-75.28
2949.6875,-93.42
2961.875,-88.09
2974.0625,-78.54
2986.25,-75.79
2998.4375,-77.76
3010.625,-93.88
3022.8125,-80.66
3035,-80.51
3047.1875,-77.59
3059.375,-82.79
3071.5625,-84.31
3083.75,-81.69
3095.9375,-74.94
3108.125,-82.32
3120.3125,-81.35
3132.5,-87.28
3144.6875,-87.21
3156.875,-79.82
3169.0625,-91.55
3181.25,-100.41
3193.4375,-88.13
3205.625,-90.03
3217.8125,-89.77
3230,-74.18
3242.1875,-75.56
3254.375,-84.21
3266.5625,-81.39
3278.75,-83.00
3290.9375,-77.15
3303.125,-73.50
3315.3125,-86.91
3327.5,-84.66
3339.6875,-82.37
3351.875,-78.72
3364.0625,-79.68
3376.25,-76.41
3388.4375,-87.23
3400.625,-78.04
3412.8125,-77.25
3425,-77.74
3437.1875,-72.98
3449.375,-73.45
3461.5625,-89.99
3473.75,-72.88
3485.9375,-77.42
3498.125,-79.15
3510.3125,-79.68
3522.5,-78.44
3534.6875,-80.88
3546.875,-77.00
3559.0625,-77.46
3571.25,-78.30
3583.4375,-85.93
3595.625,-78.29
3607.8125,-84.54
3620,-72.72
