Freq(MHz),Loss
500,-98.34
512.1875,-92.8
524.375,-91.84
536.5625,-94.75
548.75,-94.14
560.9375,-91.18
573.125,-92.24
585.3125,-90.44
597.5,-84.68
609.6875,-89.87
621.875,-93.31
634.0625,-88.16
646.25,-88.13
658.4375,-93.76
670.625,-98.72
682.8125,-87.13
695,-94.15
707.1875,-85.36
719.375,-90.21
731.5625,-92.93
743.75,-82.53
755.9375,-90.84
768.125,-93.79
780.3125,-90.65
792.5,-86.2
804.6875,-88.21
816.875,-100.33
829.0625,-82.19
841.25,-93.33
853.4375,-93.18
865.625,-88.81
877.8125,-90.74
890,-94.68
902.1875,-111.42
914.375,-88.93
926.5625,-84.96
938.75,-90.28
950.9375,-92.63
963.125,-84.99
975.3125,-85
987.5,-97.44
999.6875,-82.63
1011.875,-85.2
1024.0625,-92.22
1036.25,-87.36
1048.4375,-86.11
1060.625,-86.2
1072.8125,-91.84
1085,-88.86
1097.1875,-87.43
1109.375,-83.91
1121.5625,-98.24
1133.75,-93.68
1145.9375,-98.77
1158.125,-90.81
1170.3125,-86
1182.5,-80.87
1194.6875,-87.26
1206.875,-86.25
1219.0625,-84.15
1231.25,-92.94
1243.4375,-97.87
1255.625,-80.42
1267.8125,-82.8
1280,-83.55
1292.1875,-85.51
1304.375,-94.69
1316.5625,-83.06
1328.75,-84.33
1340.9375,-84.19
1353.125,-95.04
1365.3125,-96.44
1377.5,-85.06
1389.6875,-86.93
1401.875,-87.02
1414.0625,-84.14
1426.25,-87.07
1438.4375,-90.37
1450.625,-96.8
1462.8125,-92.37
1475,-85.2
1487.1875,-87.08
1499.375,-86.63
1511.5625,-85.75
1523.75,-82.38
1535.9375,-88.12
1548.125,-92.16
1560.3125,-85.74
1572.5,-85.35
1584.6875,-89.94
1596.875,-89.07
1609.0625,-82.42
1621.25,-85.39
1633.4375,-77.93
1645.625,-92.16
1657.8125,-84.51
1670,-85.24
1682.1875,-84.05
1694.375,-94.33
1706.5625,-83.91
1718.75,-85.03
1730.9375,-87.41
1743.125,-84.23
1755.3125,-98.62
1767.5,-87.05
1779.6875,-93.01
1791.875,-88.06
1804.0625,-79.98
1816.25,-95.14
1828.4375,-88.58
1840.625,-86.84
1852.8125,-83.44
1865,-81.96
1877.1875,-91
1889.375,-87.54
1901.5625,-87.97
1913.75,-87.15
1925.9375,-86.11
1938.125,-85.95
1950.3125,-98.8
1962.5,-90.57
1974.6875,-87.31
1986.875,-85.15
1999.0625,-88.41
2011.25,-88.56
2023.4375,-88.09
2035.625,-101.48
2047.8125,-88.12
2060,-88.39
2072.1875,-81.69
2084.375,-90.94
2096.5625,-81.78
2108.75,-86.74
2120.9375,-84.29
2133.125,-86.05
2145.3125,-90.72
2157.5,-84.09
2169.6875,-83.09
2181.875,-79.43
2194.0625,-83.48
2206.25,-83.1
2218.4375,-97.6
2230.625,-84.65
2242.8125,-83.76
2255,-86.55
2267.1875,-84.77
2279.375,-92.12
2291.5625,-91.62
2303.75,-87.65
2315.9375,-87.57
2328.125,-96.64
2340.3125,-110.42
2352.5,-92.51
2364.6875,-85.53
2376.875,-86.77
2389.0625,-87.5
2401.25,-93.95
2413.4375,-92.71
2425.625,-87.78
2437.8125,-98.12
2450,-81.55
2462.1875,-86.37
2474.375,-84.38
2486.5625,-87.98
2498.75,-86.93
2510.9375,-90.89
2523.125,-82.4
2535.3125,-90.19
2547.5,-85.93
2559.6875,-83.37
2571.875,-83.81
2584.0625,-87.88
2596.25,-89.33
2608.4375,-94.81
2620.625,-80.96
2632.8125,-96.63
2645,-85.47
2657.1875,-94.77
2669.375,-88.04
2681.5625,-83.86
2693.75,-89.13
2705.9375,-106.15
2718.125,-87.3
2730.3125,-89.62
2742.5,-88.21
2754.6875,-93.96
2766.875,-94.51
2779.0625,-91.38
2791.25,-78.41
2803.4375,-79.82
2815.625,-86.08
2827.8125,-86.77
2840,-87.46
2852.1875,-94.13
2864.375,-80.13
2876.5625,-87.27
2888.75,-79.93
2900.9375,-91.42
2913.125,-88.12
2925.3125,-84.46
2937.5,-81.28
2949.6875,-99.42
2961.875,-94.09
2974.0625,-84.54
2986.25,-81.79
2998.4375,-83.76
3010.625,-99.88
3022.8125,-86.66
3035,-86.51
3047.1875,-83.59
3059.375,-88.79
3071.5625,-90.31
3083.75,-87.69
3095.9375,-80.94
3108.125,-88.32
3120.3125,-87.35
3132.5,-93.28
3144.6875,-93.21
3156.875,-85.82
3169.0625,-97.55
3181.25,-106.41
3193.4375,-94.13
3205.625,-96.03
3217.8125,-95.77
3230,-80.18
3242.1875,-81.56
3254.375,-90.21
3266.5625,-87.39
3278.75,-89
3290.9375,-83.15
3303.125,-79.5
3315.3125,-92.91
3327.5,-90.66
3339.6875,-88.37
3351.875,-84.72
3364.0625,-85.68
3376.25,-82.41
3388.4375,-93.23
3400.625,-84.04
3412.8125,-83.25
3425,-83.74
3437.1875,-78.98
3449.375,-79.45
3461.5625,-95.99
3473.75,-78.88
3485.9375,-83.42
3498.125,-85.15
3510.3125,-85.68
3522.5,-84.44
3534.6875,-86.88
3546.875,-83
3559.0625,-83.46
3571.25,-84.3
3583.4375,-91.93
3595.625,-84.29
3607.8125,-90.54
3620,-78.72
3632.1875,-78.76
3644.375,-84.21
3656.5625,-85.96
3668.75,-87.3
3680.9375,-96.88
3693.125,-83.09
3705.3125,-86.67
3717.5,-94.22
3729.6875,-86.64
3741.875,-81.84
3754.0625,-87.79
3766.25,-87.61
3778.4375,-87.46
3790.625,-94.45
3802.8125,-88.76
3815,-82.1
3827.1875,-82.37
3839.375,-88.49
3851.5625,-78.17
3863.75,-100.83
3875.9375,-80.98
3888.125,-83.74
3900.3125,-82.72
3912.5,-86.31
3924.6875,-87.43
3936.875,-78.35
3949.0625,-85.69
3961.25,-95.74
